region,location,street_address,num_of_rooms,size,fee,final_price,initial_price
Nackakommun,Nacka,Garverigränd 1,4,97.5,5812,7900000,3990384
Stockholmskommun,Södermalm,Magnus Ladulåsgatan 21,3,66.0,3174,5790000,4991379
Stockholmskommun,Hagsätra,Vintrosagatan 50 3tr,3,73.0,3830,3085000,2187943
Stockholmskommun,Kungsholmen,"Kungsklippan 5, 1tr",2,46.0,2038,4700000,4607843
Stockholmskommun,Solhem,Logvägen 79,1,42.5,2624,1750000,1699029
Stockholmskommun,Södermalm,Götgatan 118,4,93.0,3968,8300000,1699029
Stockholmskommun,Årsta,Kolsnarsvägen 21,2.5,54.2,3323,3660000,3155172
Nackakommun,Nacka,"Fingerörtsvägen 3, 4 tr",3.5,84.0,5378,5000000,5000000
Stockholmskommun,Hornstull,Folkskolegatan 3,2,55.0,3027,5700000,5000000
Stockholmskommun,Vasastan,"Torsgatan 58, 1,5 tr.",2,41.0,2991,4200000,4000000
Stockholmskommun,Älvsjö,"Kabelverksgatan 20, vån 7 av 7",2,44.0,2856,3050000,2798165
Stockholmskommun,Liljeholmskajen,Hildebergsvägen 24,1.5,38.0,2970,2690000,2401785
Stockholmskommun,Västertorp,Stöttingsgränd 16,2,59.0,3225,3200000,2807017
Stockholmskommun,SöderbergaAllé,"Söderberga Allé 32, 1tr",4,104.0,7000,3395000,3395000
Stockholmskommun,Vårberg,Gränsholmsbacken 8,3,65.0,3353,2200000,1946902
Stockholmskommun,Hornstull,Slipgatan 14,1.5,39.0,2367,3300000,2999999
Stockholmskommun,Hornstull,Lignagatan 4,3,75.0,3565,6510000,6200000
Stockholmskommun,Stureby,"Bastuhagsvägen 10,",1,19.0,1030,1650000,1650000
Stockholmskommun,Älvsjö,Tvååkersgränd 1,3,82.0,5280,3500000,1650000
Stockholmskommun,Årsta,"Siljansvägen 74, 2,5tr",3,74.0,4906,4225000,3300781
Stockholmskommun,Sköndal,"Kubbegatan 4, 3tr",2,53.0,2779,2450000,2247706
Stockholmskommun,Bandhagen,Gillerbacken 28,2,69.0,3990,900000,687022
Stockholmskommun,Vasastaden,Tegnérgatan 55D - Två terrasser,2,41.0,2769,7150000,6499999
Stockholmskommun,Södermalm,"Katarina Bangata 31 A, 4 tr ö.g.",2,69.0,2265,7625000,6517094
Solnakommun,Huvudsta,Lundagatan 11,2,62.0,3037,3100000,2743362
Stockholmskommun,Bromma,Dartanjangs Gata 60,3,76.0,4374,3900000,3900000
Nackakommun,VästraOrminge,Ormingeringen 73,1.5,37.0,2979,1805000,1702830
Stockholmskommun,Kista,"Langelandsgatan 53, 3tr",3,76.5,5052,2450000,2450000
Stockholmskommun,Kungsholmen,"Gjutargatan 12, vån 3",1,24.0,1225,2720000,2495412
Sollentunakommun,Häggvik,Ugglevägen 7,4,84.0,4865,3495000,3495000
