region,location,street_address,num_of_rooms,size,fee,final_price,percentage_change,initial_price
Uppsalakommun,Luthagen,Kyrkogårdsgatan 16D,2,60.0,3410,2520000,"
            +1 %
          ",2495049
Uppsalakommun,Luthagen,Jumkilsgatan 2A,1,25.5,1240,1750000,"
            -1 %
          ",1732673
Uppsalakommun,Uppsala,Odensgatan 4B,1.5,49.6,3045,2140000,"
            +7 %
          ",2000000
Uppsalakommun,Sävja,Bergslagsresan 45,3,80.5,4680,1695000,"
            ±0 %
          ",1695000
Uppsalakommun,Nybygård,Hurtigs gata 55,5,114.0,6403,3000000,"
            +4 %
          ",2884615
Uppsalakommun,Centrum,S:t Johannesgatan 3,5.5,157.0,6527,9500000,"
            -3 %
          ",9223300
Uppsalakommun,Luthagen,Luthagsesplanaden 26A,3,76.0,4193,3175000,"
            +6 %
          ",2995283
Uppsalakommun,Sunnersta,Rödhakevägen 16,2,50.0,3413,1962000,"
            +9 %
          ",1799999
Uppsalakommun,Höganäs,S:T Olofsgatan 66 A,2,56.5,2661,2410000,"
            +5 %
          ",2295238
Uppsalakommun,Luthagen,Geijersgatan 40 A,2,46.0,2985,2200000,"
            -4 %
          ",2115384
Uppsalakommun,Årsta,Kummingatan 16 B,3.5,79.6,4422,2560000,"
            +12 %
          ",2285714
Uppsalakommun,SalaBacke,Byggmästargatan 10 D,5,95.5,4464,3475000,"
            +16 %
          ",2995689
Uppsalakommun,Centrum,Svartbäcksgatan 43G,2,70.5,4156,2200000,"
            -8 %
          ",2037037
Uppsalakommun,Höganäs,Alriksgatan 6 B,2,56.5,3409,2400000,"
            +9 %
          ",2201834
Uppsalakommun,SalaBacke,Murargatan 18C,1,38.1,2440,1250000,"
            +26 %
          ",992063
Uppsalakommun,FrämreLuthagen,Odensgatan 2 A,1,47.0,1929,2110000,"
            +8 %
          ",1953703
Uppsalakommun,Kungsängen,Mältargatan 1,2,69.0,3789,2800000,"
            -3 %
          ",2718446
Uppsalakommun,Centrum,Svartbäcksgatan 43D,3,79.6,4289,2895000,"
            ±0 %
          ",2895000
Uppsalakommun,Centrum,Östra Ågatan 51D,3,74.0,3379,4500000,"
            ±0 %
          ",4500000
Uppsalakommun,Sävja,Stenbrohultsvägen 109,3,74.9,6049,1400000,"
            ±0 %
          ",1400000
Uppsalakommun,Kapellgärdet,Margit Sahlins Gata 1,2,38.0,2319,1950000,"
            +3 %
          ",1893203
Uppsalakommun,Kapellgärdet,Råbyvägen 34,4,105.0,5584,4000000,"
            +8 %
          ",3703703
Uppsalakommun,Stenhagen,Stenhagsvägen 164,4.5,97.2,6576,2050000,"
            +4 %
          ",1971153
Uppsalakommun,Kungsängen,Sågargatan 13 A,4,105.0,5441,5625000,"
            +17 %
          ",4807692
Uppsalakommun,Fålhagen,Eskilsgatan 8B,4,87.5,4197,4310000,"
            +11 %
          ",3882882
Uppsalakommun,Fålhagen,Norrtäljegatan 18B,2,54.0,3020,2520000,"
            +5 %
          ",2400000
Uppsalakommun,NorraLuthagen,Pålgatan 12,5,111.0,5665,4700000,"
            +1 %
          ",4653465
Uppsalakommun,Luthagen,Geijersgatan 21D,1,25.0,1412,1695000,"
            ±0 %
          ",1695000
Uppsalakommun,Tunabackar,Fjärdhundragatan 46,2.5,60.5,3218,2100000,"
            +5 %
          ",2000000
Uppsalakommun,FrämreLuthagen,S:t Johannesgatan 4 A,4,108.0,5945,5800000,"
            +33 %
          ",4360902
Uppsalakommun,Övreslotts,Kyrkogårdsgatan 23,1,26.0,1385,2400000,"
            +9 %
          ",2201834
Uppsalakommun,Löten,Stagneliusgatan 31,3,84.5,4528,2250000,"
            +13 %
          ",1991150
Uppsalakommun,Norby,Norbyvägen 46D,1,43.0,2051,1950000,"
            -2 %
          ",1911764
Uppsalakommun,Höganäs,Väderkvarnsgatan 15B,2.5,66.0,2885,2650000,"
            +6 %
          ",2500000
Uppsalakommun,Löten,Von Bahrs Väg 34,4,89.5,5724,3000000,"
            +25 %
          ",2400000
Uppsalakommun,Bellman,Bellmansgatan 52,3,67.0,3641,1915000,"
            +1 %
          ",1896039
Uppsalakommun,Luthagen,Ringgatan 43B,3,69.0,3831,2800000,"
            +4 %
          ",2692307
Uppsalakommun,Dragarbrunn,Dragarbrunnsgatan 58,4,90.0,3974,4900000,"
            +7 %
          ",4579439
Uppsalakommun,ÅrstaUppsala,Sparrisgatan 5A,3,73.0,2667,2300000,"
            +5 %
          ",2190476
Uppsalakommun,LUTHAGEN,Fyrisvallsgatan 3C,2,63.0,3977,2650000,"
            +4 %
          ",2548076
Uppsalakommun,Höganäs,Höganäsgatan 4 B,2.5,68.0,3446,2400000,"
            +15 %
          ",2086956
Uppsalakommun,Centrum,Klostergatan 21 B,1.5,40.0,2091,2395000,"
            ±0 %
          ",2395000
Uppsalakommun,Årsta,Kamomillgatan 2,2,63.0,3798,1810000,"
            +1 %
          ",1792079
Uppsalakommun,Luthagen,Geijersgatan 1,2,44.5,2695,1850000,"
            -7 %
          ",1728971
Uppsalakommun,Fålhagen,Fålhagsleden 9,3,74.0,4054,3495000,"
            ±0 %
          ",3495000
Uppsalakommun,Sommarro,Norbyvägen 77D,2,52.1,2998,1980000,"
            -1 %
          ",1960396
Uppsalakommun,Höganäs,Väderkvarnsgatan 21A,4,94.0,5668,3400000,"
            -3 %
          ",3300970
Uppsalakommun,NORBY,Tryffelvägen 112,3.5,97.5,6571,4255000,"
            +42 %
          ",2996478
Uppsalakommun,Sävja,Smålandsvägen 65,1,47.3,3281,1650000,"
            +10 %
          ",1499999
