region,location,street_address,num_of_rooms,size,fee,price
Höganäs,Höganäs,"
        Höganäsgatan 3B
      ",3,68.0,3430,2995000
Kungsängen/Industristaden,Kungsängen,"
        Kungsängsgatan 53A
      ",5,146.0,6015,6750000
Centrum,Centrum,"
        Vretgränd 14 C
      ",3,79.0,3258,2995000
Uppsala,Uppsala,"
        Stigbergsvägen 8D
      ",3,80.5,3677,2750000
Rosendal,Rosendal,"
        Rosendalsvägen 22
      ",3,76.5,4326,3595000
Uppsala,ÖstraSalaBacke,"
        Salabacke Entré, Uppsala
      ",1,25.5,fr.1841,1350000
Uppsala,Uppsala,"
        Svartbäcksgatan 101A
      ",1.5,40.0,3056,1995000
Norra Luthagen,NorraLuthagen,"
        Gimogatan 3B
      ",5,110.0,5484,4195000
ROSENDAL,ROSENDAL,"
        Torgny Segerstedts allé 94
      ",4,114.0,7067,4995000
Norra Luthagen,NorraLuthagen,"
        Fyrisvallsgatan 18 B
      ",2,63.0,3346,2695000
Gränbystaden,Gränbystaden,"
        Marknadsgatan 48
      ",4,94.0,5209,3450000
Norra Rosendal,NorraRosendal,"
        Dekangatan 10 (2-1501)
      ",4,83.0,4867,3595000
Salabacke,Salabacke,"
        Ritargatan 6B
      ",1.5,50.9,2386,1595000
UPPSALA,UPPSALA,"
        Väpnargatan 5B
      ",2,66.0,3551,1980000
Luthagen,Luthagen,"
        Börjegatan 43C
      ",2,65.0,3642,2895000
Kungsängen,Kungsängen,"
        Kungsängsgatan 57H
      ",4,102.0,4616,3650000
Årsta,Årsta,"
        Fänkålsgatan 16
      ",2,63.0,3625,1950000
Höganäs,Höganäs,"
        Väderkvarnsgatan 11B
      ",1.5,44.0,2275,1995000
Nyby,Nyby,"
        Lidnersgatan 37
      ",3,74.0,4416,2150000
Salabacke,Salabacke,"
        Årstagatan 20A
      ",2,55.0,2990,1895000
Kapellgärdet,Kapellgärdet,"
        Torngatan 1
      ",2,47.0,2908,2195000
Luthagen,Luthagen,"
        Luthagsesplanaden 24 B
      ",2,73.0,3761,2795000
Ultuna,Ultuna,"
        Ekoxvägen 10
      ",2,45.0,2953,1775000
Uppsala,Uppsala,"
        Lings väg 83
      ",1,46.5,3062,1495000
Salabacke,Salabacke,"
        Lästmakargatan 9A
      ",1,18.0,1655,995000
Kapellgärdet,Kapellgärdet,"
        Råbyvägen 76
      ",2,68.5,3729,2195000
Salabacke,Salabacke,"
        Johannesbäcksgatan 95B
      ",2,60.0,3591,2550000
Fålhagen,Fålhagen,"
        Fålhagsleden 4B - FAST PRIS
      ",1,24.0,1418,1495000
Nyby,Nyby,"
        Topeliusgatan 6E
      ",2,56.5,4307,1750000
Gränby,Gränby,"
        Råbyvägen 57D
      ",2,57.0,3618,1895000
Kungsängen,Kungsängen,"
        Mältargatan 1 - FAST PRIS
      ",2,67.0,3719,2600000
ULTUNA,ULTUNA,"
        Göte Turessons väg 7B
      ",1,29.0,2365,1475000
Nyby,Nyby,"
        Topeliusgatan 4 - FAST PRIS
      ",2,60.5,4242,1595000
Rosendal,Rosendal,"
        Vårdsätravägen 3F - FAST PRIS
      ",1.5,35.0,2039,2150000
Kapellgärdet,Kapellgärdet,"
        Portalgatan 17 - FAST PRIS
      ",3,77.0,4434,2895000
Norra Rosendal,NorraRosendal,"
        Dekangatan 10 (2-1201)
      ",1,29.0,1700,1525000
Salabacke,Salabacke,"
        Murargatan 14E
      ",1.5,24.5,1815,1500000
Ultuna,Ultuna,"
        Göte Turessons väg 5A
      ",1,30.0,2398,1595000
Rosendal,Rosendal,"
        Lydia Wahlströms Gata
      ",1.5,34.0,2226,1798000
Uppsala kommun,Uppsalakommun,"
        Kapellgärdet Arena V
      ",1,34.0,fr.2332,1550000
Uppsala,Uppsala,"
        S:t Persgatan 19E
      ",2,73.0,3509,2750000
Sala backe,Salabacke,"
        Lästmakargatan 5B
      ",1.5,40.0,2602,1695000
Nyby,Nyby,"
        Lidnersgatan 11
      ",2,61.0,3710,1895000
Kungsängen,Kungsängen,"
        Siktargatan 18
      ",1,48.0,3422,1995000
Rosendal,Rosendal,"
        Torgny Segerstedts allé 40
      ",3,86.0,3766,3195000
Gränby,Gränby,"
        Råbyvägen 57D
      ",2,58.0,3618,1895000
Norby,Norby,"
        Svampvägen 8B
      ",2,60.0,3438,1895000
Uppsala,Uppsala,"
        Gösta Wahlströms väg 7
      ",2,50.0,2723,2295000
Sala backe,Salabacke,"
        Svärdsliljegatan 4 - FAST PRIS!
      ",2,45.0,3190,1895000
Höganäs,Höganäs,"
        S:t Olofsgatan 60B
      ",1.5,43.0,1590,2195000
SÄVJA,SÄVJA,"
        Stenbrohultsvägen 103
      ",3,81.0,6300,1395000
Kungsängen,Kungsängen,"
        Tullgarnsgatan 16
      ",1,42.0,2819,1495000
Luthagen,Luthagen,"
        Geijersgatan 23A
      ",1,45.0,2649,2100000
Uppsala,Uppsala,"
        Gösta Wahlströms väg 14
      ",2,44.0,2741,1800000
Kapellgärdet,Kapellgärdet,"
        Råbyvägen 80
      ",2,75.0,4083,2395000
Kapellgärdet,Kapellgärdet,"
        Råbyvägen 76 , FAST PRIS!
      ",1,30.5,2320,1675000
Luthagen,Luthagen,"
        Börjegatan 59 FAST PRIS
      ",2,50.0,3362,1995000
Ultuna,Ultuna,"
        Bäcklösavägen 7 - FAST PRIS
      ",5,105.0,5554,4150000
Uppsala,Uppsala,"
        Götgatan 11 - FAST PRIS
      ",1.5,39.0,1749,2650000
Fålhagen,Fålhagen,"
        Syréngatan 6
      ",4.5,159.0,7453,5495000
Rosendal,Rosendal,"
        Arne Tiselius gata / Lydia Wahlströms gata
      ",3,72.2,4286,2645000
Rosendal,Rosendal,"
        Arne Tiselius gata / Lydia Wahlströms gata
      ",3,69.1,4102,2645000
Luthagen,Luthagen,"
        Fyrisvallsgatan 10A
      ",1,25.0,1750,1725000
Luthagen,Luthagen,"
        Fyrisvallsgatan 10A 
      ",1,29.0,1995,1745000
Norra Luthagen,NorraLuthagen,"
        Fyrisvallsgatan 18 B
      ",3,76.0,3843,2895000
Norra Luthagen,NorraLuthagen,"
        Fyrisvallsgatan 18 B
      ",4,91.0,4648,3595000
Centrum,Centrum,"
        Linnégatan 12
      ",3,84.5,4223,3595000
HÖGANÄS,HÖGANÄS,"
        Vaksalagatan 36A - Fast Pris
      ",1,30.0,1721,1800000
Kåbo,Kåbo,"
        Banérgatan 5B - Fast pris!
      ",1,35.5,1998,1995000
Kungsängen,Kungsängen,"
        Kungsgatan 93F
      ",1,37.5,1710,2150000
Gränby,Gränby,"
        Råbyvägen 53D
      ",1,36.0,2398,1615000
Gränby,Gränby,"
        Råbyvägen 53H
      ",1,34.0,2333,1595000
Luthagen,Luthagen,"
        Pålgatan 14
      ",4,102.0,5256,3995000
Kungsängen,Kungsängen,"
        Industrigatan 25
      ",1,32.0,1927,2095000
Norra Luthagen,NorraLuthagen,"
        Fyrisvallsgatan 3B - FAST PRIS
      ",4,105.0,7008,3495000
Rosendal,Rosendal,"
        Torgny Segerstedts allé 11D
      ",2,50.0,2913,2050000
Luthagen,Luthagen,"
        Stabby Allé 11E
      ",1,31.0,2409,1695000
Fålhagen,Fålhagen,"
        Österängsgatan 12E
      ",3,76.8,3545,2750000
Gränby,Gränby,"
        Råbyvägen 55E
      ",2,59.0,3424,1995000
Kapellgärdet,Kapellgärdet,"
        Kantorsgatan 9
      ",2,53.0,3526,2150000
Gränby,Gränby,"
        Råbyvägen 55F
      ",1,29.0,2179,1295000
Centrum,Centrum,"
        Slottsgränd 2D
      ",2,44.8,2885,2695000
Centrum,Centrum,"
        Slottsgränd 2D
      ",1,30.0,2233,1995000
Uppsala kommun,Uppsalakommun,"
        Slottsgränd
      ",1,30.0,fr.2233,1995000
Gränby,Gränby,"
        Solskensgatan 17
      ",2,41.0,2775,1795000
Norra Rosendal,NorraRosendal,"
        Dekangatan 10 (2-1001)
      ",2,46.0,2697,1895000
Ultuna,Ultuna,"
        Göte Turessons väg 7A
      ",1,30.0,2398,1450000
Fullerö,Fullerö,"
        Meteorvägen 32 -FAST PRIS
      ",1,35.0,2144,1495000
Gränby,Gränby,"
        Albert Engströmsgatan 2H
      ",1,25.5,2123,1150000
Fålhagen,Fålhagen,"
        S:t Göransgatan 24A
      ",1,22.5,1675,1595000
Fålhagen,Fålhagen,"
        Vaksalagatan 55
      ",2,46.0,3568,1695000
Kungsgärdet/Rackarberget/Luthagen,Kungsgärdet,"
        S:t Johannesgatan 36B
      ",1,33.0,2430,1650000
Norra Luthagen,NorraLuthagen,"
        Fyrisvallsgatan 18 B
      ",4,91.0,4648,3495000
FRÄMRE LUTHAGEN - FJÄRDINGEN,FRÄMRELUTHAGEN,"
        Sturegatan 4B
      ",2,62.0,2041,3390000
Rosendal,Rosendal,"
        Arne Tiselius gata / Lydia Wahlströms gata
      ",4,82.3,4886,3195000
Kapellgärdet,Kapellgärdet,"
        Torngatan 34
      ",1,39.0,2495,1975000
Kapellgärdet,Kapellgärdet,"
        Råbyvägen 39B
      ",3,49.5,2929,2225000
Rackarberget,Rackarberget,"
        S:t Johannesgatan 36C
      ",3,56.0,4123,2295000
Rosendal,Rosendal,"
        Rosendalsvägen 12
      ",1,27.0,1321,1950000
Uppsala,Uppsala,"
        Kantorsgatan 5
      ",1,35.0,2580,1725000
ÅRSTA,ÅRSTA,"
        Fänkålsgatan 17
      ",2,63.0,3875,1975000
Ultuna,Ultuna,"
        Bäcklösavägen 7
      ",1,34.0,2537,1650000
Ultuna,Ultuna,"
        Göte Turessons väg 7A
      ",1,30.0,2398,1650000
Ultuna,Ultuna,"
        Göte Turessons väg 7B
      ",1,30.0,2398,1550000
Gunsta,Gunsta,"
        BoKlok Ryttaren
      ",2,55.0,fr.3246,1685000
Rosendal,Rosendal,"
        Lydia Wahlströms Gata
      ",3,52.0,3405,2298000
Tunabackar,Tunabackar,"
        Tunagatan 32C
      ",1,31.0,2028,1495000
Luthagen / Stabby,Luthagen,"
        Stabby allé 11 E
      ",1,31.0,2409,1795000
Kapellgärdet,Kapellgärdet,"
        Råbyvägen 72
      ",2,67.5,3607,2395000
Centrum Uppsala,CentrumUppsala,"
        Kungsgatan 63B - FAST PRIS
      ",5,137.0,5482,5300000
Gränby,Gränby,"
        Råbyvägen 53B
      ",2,53.0,3227,1795000
Uppsala,Uppsala,"
        Gränby Bilgata 28
      ",3,55.0,3800,2395000
Uppsala,Uppsala,"
        Gränby Bilgata 28
      ",2,44.0,3350,2050000
Uppsala,Uppsala,"
        Gränby Bilgata 28
      ",2,48.0,3500,1995000
Uppsala,Uppsala,"
        Gränby Bilgata 28
      ",1,35.0,2900,1795000
Uppsala,Uppsala,"
        Gränby Bilgata 28
      ",1,31.0,2750,1395000
Gränby,Gränby,"
        Råbyvägen 55F
      ",1,29.0,2179,1325000
Höganäs,Höganäs,"
        Salagatan 20A
      ",3,61.5,3708,2950000
Fullerö Hage,FulleröHage,"
        Fullerö Berså
      ",5,113.0,fr.4396,3795000
Rickomberga,Rickomberga,"
        Rickomberga backe 4
      ",2,53.0,fr.3650,2595000
Luthagen,Luthagen,"
        Ringgatan 2C
      ",4,128.0,6619,3895000
Salabacke,Salabacke,"
        Johannesbäcksgatan 88D
      ",3,72.3,3892,2395000
Gränby,Gränby,"
        Albert Engströmsgatan 2H - FAST PRIS!
      ",1,25.5,2124,1395000
Salabacke,Salabacke,"
        Murargatan 21
      ",2,62.5,2849,2250000
Rickomberga,Rickomberga,"
        Rickomberga backe 3
      ",2,34.0,fr.2778,1995000
Rosendal,Rosendal,"
        Välkommen till Rosendals Port!
      ",2,45.5,fr.2977,2295000
Gränby,Gränby,"
        Råbyvägen 53E
      ",2,65.0,3892,2295000
Kapellgärdet,Kapellgärdet,"
        Brf Möblera
      ",1,35.0,fr.2580,1725000
Kapellgärdet,Kapellgärdet,"
        Brf Inreda
      ",2,53.0,fr.3526,2150000
Centrala Uppsala,CentralaUppsala,"
        Kungsgatan 66 fyra
      ",1,33.0,fr.2550,2050000
er i Norra Rosendal,eriNorraRosendal,"
        Verket
      ",1,29.0,fr.1700,1495000
Gränbystaden,Gränbystaden,"
        Parkhusen Kv2
      ",1,35.0,fr.2246,1625000
Kvarntorget,Kvarntorget,"
        Skiffertornet, Uppsala
      ",1,33.5,fr.2022,1925000
Gränby backe,Gränbybacke,"
        Meteorologen
      ",1,31.0,fr.2750,1395000
Uppsala kommun,Uppsalakommun,"
        Linnéa Garden
      ",2,49.1,fr.2915,1845000
Rosendal,Rosendal,"
        Kvadratum
      ",1,28.0,fr.2509,1345000
Norra Luthagen,NorraLuthagen,"
        Normann
      ",1,33.0,fr.1928,1795000
