region,location,street_address,num_of_rooms,size,fee,price
Fullerö Hage,FulleröHage,"
        Snömolnsvägen
      ",5,113.0,4396,4095000
Skyttorp,Skyttorp,"
        Myrvägen 8
      ",6,130.4,5700,1595000
ÅRSTA,ÅRSTA,"
        Fyrislundsgatan 36
      ",3,87.0,4921,2200000
Slavsta,Slavsta,"
        Stålgatan 55
      ",6,137.0,7466,4195000
Årsta,Årsta,"
        Kummingatan 43B
      ",3,79.7,3677,2550000
Rosendal,Rosendal,"
        Lydia Wahlströms Gata
      ",2,46.0,3012,1948000
Höganäs,Höganäs,"
        Sankt olofsgatan 43E
      ",1,36.0,2090,1895000
Rosendal,Rosendal,"
        Lydia Wahlströms Gata
      ",3,55.0,3601,2378000
Ultuna,Ultuna,"
        Göte Turessons väg 5A
      ",1,30.0,2398,1395000
Fålhagen,Fålhagen,"
        Petterslundsgatan 9 B
      ",2,66.2,3015,2195000
FÅLHAGEN,FÅLHAGEN,"
        Vallbygatan 9
      ",1,22.5,1534,1395000
Rosendal,Rosendal,"
        Grindstugegatan 5
      ",3,75.0,4341,4695000
Rosendal,Rosendal,"
        Grindstugegatan 5
      ",2,45.5,2977,2295000
Rosendal,Rosendal,"
        Gerd Enequists gata 12 A
      ",2,64.0,3833,3045000
Rosendal,Rosendal,"
        Gerd Enequists gata 14
      ",4,90.5,5055,3695000
Rosendal,Rosendal,"
        Gerd Enequists gata 14
      ",4,97.5,5375,4045000
Gunsta,Gunsta,"
        Hjulaxelvägen 164 lgh 1103
      ",3,72.0,4013,2095000
Centrum,Centrum,"
        Storgatan 16C
      ",2,70.4,3757,2895000
Salabacke,Salabacke,"
        Årstagatan 20C
      ",2,56.0,3166,1850000
Kungsängen/industristaden,Kungsängen,"
        Industrigatan 33
      ",3,84.0,3838,3895000
Fålhagen,Fålhagen,"
        Frodegatan 10B - FAST PRIS
      ",2,57.5,3420,3295000
KÅBO,KÅBO,"
        Banérgatan 16 A, 1104
      ",4,88.0,4041,3990000
Luthagen,Luthagen,"
        Prästgårdsgatan 8 C
      ",3,66.0,3841,2690000
Årsta,Årsta,"
        Fyrislundsgatan 44
      ",3,83.5,3015,1975000
STENHAGEN,STENHAGEN,"
        Stenrösvägen 97
      ",4,108.0,8594,1820000
LUTHAGEN,LUTHAGEN,"
        Gimogatan 13A
      ",1,32.0,2368,1750000
Centrum,Centrum,"
        Kungsgatan 32
      ",2,53.0,2898,1995000
Uppsala,Uppsala,"
        Orgelgatan 4
      ",2,55.0,3152,2450000
Uppsala,Uppsala,"
        Orgelgatan 4
      ",2,55.0,3152,2400000
Uppsala,Uppsala,"
        Orgelgatan 8
      ",1,34.0,2332,1550000
FRÄMRE LUTHAGEN - FJÄRDINGEN,FRÄMRELUTHAGEN,"
        Gluntens gränd 1
      ",1,34.0,2474,2950000
Kapellgärdet,Kapellgärdet,"
        Djäknegatan 70
      ",6,134.5,6948,4095000
Rosendal,Rosendal,"
        Arne Tiselius gata / Lydia Wahlströms gata
      ",2,49.1,2915,1845000
Fullerö Hage,FulleröHage,"
        Snömolnsvägen
      ",5,113.0,4396,3795000
Uppsala,Uppsala,"
        Portalgatan 29
      ",4,97.0,5001,3750000
Fålhagen,Fålhagen,"
        Norrtäljegatan 1B
      ",2,58.0,3288,2199000
SALABACKE,SALABACKE,"
        Årstagatan 20B
      ",2,56.0,3165,1750000
Uppsala,Uppsala,"
        Kungsgatan 66 D
      ",1,33.0,2550,2295000
Uppsala,Uppsala,"
        Kungsgatan 66 C
      ",3,71.0,4150,4095000
Uppsala,Uppsala,"
        Sockergatan 4
      ",4,80.0,4550,3795000
Uppsala,Uppsala,"
        Sockergatan 4
      ",2,49.0,3200,2450000
Sala backe,Salabacke,"
        Kastanjegatan 5
      ",1,21.5,1340,1150000
Fålhagen,Fålhagen,"
        Petterslundsgatan 16A
      ",4,100.1,5719,2995000
Höganäs,Höganäs,"
        S:t Olofsgatan 56 C
      ",1.5,44.0,2656,1895000
Fålhagen,Fålhagen,"
        Vaksalagatan 38B
      ",1,30.0,1839,1795000
Kungsängen/Industristaden,Kungsängen,"
        Kungsängsesplanaden 10A
      ",3,79.0,4270,3195000
Centrum,Centrum,"
        Munkgatan 5B
      ",1,26.0,1212,1895000
Höganäs / Centrum,Höganäs,"
        Storgatan 2 C
      ",3,77.0,4238,3350000
Främre Luthagen,FrämreLuthagen,"
        Torsgatan 8C
      ",3,84.3,4448,3795000
Salabacke,Salabacke,"
        Murargatan 28B
      ",3,65.0,3033,2200000
Tunabackar,Tunabackar,"
        Tunagatan 26A
      ",3,77.5,3875,2050000
Fålhagen,Fålhagen,"
        Hjalmar Brantingsgatan 9B
      ",1,37.5,2340,1995000
Luthagen,Luthagen,"
        Luthagsesplanaden 30A
      ",5,123.0,5311,5490000
Öfre Slotts,ÖfreSlotts,"
        Skolgatan 17
      ",1.5,46.0,2961,2695000
Fålhagen,Fålhagen,"
        Hjalmar Brantingsgatan 7B
      ",1,36.2,2017,2150000
Stenhagen,Stenhagen,"
        Stenrösvägen 1
      ",2,68.5,5210,1095000
Sommarro/Eriksberg,Sommarro,"
        Lindsbergsgatan 6 B
      ",1,41.0,2285,1985000
Kapellgärdet,Kapellgärdet,"
        Portalgatan 4H
      ",3,85.0,4828,2750000
Salabacke,Salabacke,"
        Verkmästargatan 11
      ",2,57.1,3029,1650000
Slavsta,Slavsta,"
        Mariedalsgatan 8
      ",4,96.0,6014,2595000
Rickomberga,Rickomberga,"
        Gösta Wahlströms väg 9
      ",4,112.0,4654,3995000
Främre Luthagen,FrämreLuthagen,"
        Sysslomansgatan 7
      ",1,35.0,2217,2295000
Sala backe,Salabacke,"
        Verkmästargatan 5A
      ",1,38.5,2225,1650000
Kungsgärdet/Rackarberget/Luthagen,Kungsgärdet,"
        Klangs Gränd 3
      ",1,20.0,1838,1595000
LUTHAGEN,LUTHAGEN,"
        Luthagsesplanaden 18A
      ",1,27.0,1011,1895000
Salabacke,Salabacke,"
        Svärdsliljegatan 4
      ",1,26.0,2434,1250000
Kungsängen - Industristaden,Kungsängen,"
        Industrigatan 37
      ",2,51.5,2556,2495000
Svartbäcken,Svartbäcken,"
        Sköldungagatan 30B
      ",2,60.0,3563,2495000
Löten,Löten,"
        Bellmansgatan 88
      ",3,81.5,4132,1895000
Luthagen / Stabby,Luthagen,"
        Hällbygatan 43
      ",1,35.0,2414,1795000
Centrala Uppsala,CentralaUppsala,"
        Bäverns gränd 13A
      ",3,87.5,3218,4250000
Kapellgärdet,Kapellgärdet,"
        Orgelgatan 9
      ",2,52.0,2382,2395000
Centrum,Centrum,"
        Dragarbrunnsgatan 58
      ",3,77.0,3643,3195000
Sävja,Sävja,"
        Gotlandsresan 85 - FAST PRIS!
      ",4,93.0,5706,1695000
LUTHAGEN,LUTHAGEN,"
        Prästgatan 3
      ",2,85.0,3350,3495000
Centrum,Centrum,"
        Dragarbrunnsgatan 11A
      ",1,20.0,1284,1590000
Ulleråker,Ulleråker,"
        Eklundshovsvägen 4D
      ",1,29.6,2375,1495000
Sunnersta,Sunnersta,"
        Sveddvägen 13 C
      ",3,81.0,5174,2995000
Rickomberga,Rickomberga,"
        Hildur ottelinsgatan 1B
      ",2,41.9,2985,1895000
Kapellgärdet,Kapellgärdet,"
        Margit Sahlins gata 1
      ",4,114.0,4695,5990000
Gränby-Sala Backe,Gränby,"
        Johannesbäcksgatan
      ",1,25.5,1841,1495000
Fålhagen,Fålhagen,"
        Frodegatan 14A
      ",1,35.0,2217,1895000
Gränby-Sala Backe,Gränby,"
        Johannesbäcksgatan
      ",3,53.0,3149,2150000
Gränby-Sala Backe,Gränby,"
        Johannesbäcksgatan
      ",2,34.0,2245,1725000
Gränby-Sala Backe,Gränby,"
        Johannesbäcksgatan
      ",4,87.5,4949,3450000
Gränby-Sala Backe,Gränby,"
        Johannesbäcksgatan
      ",4,87.5,4949,3595000
Årsta,Årsta,"
        Fyrislundsgatan 42
      ",1,24.2,1030,1295000
Kvarntorget,Kvarntorget,"
        Kvarntorgsgatan 2B
      ",2,46.0,2563,2200000
Kvarntorget,Kvarntorget,"
        Kvarntorgsgatan 2C
      ",1,33.5,2022,1925000
KÅBO,KÅBO,"
        Banérgatan 16 C, 1103
      ",1,20.0,1250,1290000
Kvarntorget,Kvarntorget,"
        Kvarntorgsgatan 2C
      ",4,95.5,4787,4100000
Kvarntorget,Kvarntorget,"
        Kvarntorgsgatan 2C
      ",5,133.0,6599,7800000
Eriksberg,Eriksberg,"
        Stigbergsplan 1 B
      ",5,112.3,5935,4575000
Industristaden/Kungsängen,Industristaden,"
        Muningatan 27
      ",2,54.0,2691,2695000
Norby,Norby,"
        Svampvägen 7 B
      ",3,75.5,4151,1995000
Sala backe,Salabacke,"
        Källparksgatan 4
      ",2,43.0,1893,1595000
Fålhagen,Fålhagen,"
        Hjalmar Brantingsgatan 10A
      ",1,19.5,1655,1495000
Uppsala,Uppsala,"
        Kantorsgatan 3B
      ",3,64.0,4030,2550000
Uppsala,Uppsala,"
        Marielundsgatan 2B
      ",2,61.0,3331,3050000
Fålhagen,Fålhagen,"
        Norrtäljegatan 20B
      ",1,42.0,2280,2095000
Kungsängen,Kungsängen,"
        Industrigatan 35
      ",1,34.0,2031,1995000
Ultuna,Ultuna,"
        Ekoxvägen 20
      ",3,79.0,4183,2895000
Uppsala,Uppsala,"
        Orgelgatan 4
      ",4,93.0,4633,3645000
Uppsala,Uppsala,"
        Orgelgatan 8
      ",5,113.0,5358,4550000
