link,region,location,street_address,num_of_rooms,size,fee,price
https://www.hemnet.se/bostad/lagenhet-2rum-stenhagen-uppsala-kommun-milstensvagen-104-19418675,STENHAGEN,STENHAGEN,Milstensvägen104,2,54.0,3693,1650000
https://www.hemnet.se/bostad/lagenhet-3rum-svartbacken-uppsala-kommun-torbjornsgatan-14-19466879,Svartbäcken,Svartbäcken,Torbjörnsgatan14,3,85.1,3804,2495000
https://www.hemnet.se/bostad/lagenhet-3rum-industristaden-kungsangen-uppsala-kommun-sagargatan-9-b-19425215,Industristaden/Kungsängen,Industristaden,Sågargatan9B,3,84.0,4325,3695000
https://www.hemnet.se/bostad/lagenhet-2rum-kapellgardet-uppsala-kommun-rabyvagen-39-b-14824656,Kapellgärdet,Kapellgärdet,Råbyvägen39B,2,49.0,3624,1850000
https://www.hemnet.se/bostad/lagenhet-2rum-kapellgardet-uppsala-kommun-orgelgatan-16-19467396,Kapellgärdet,Kapellgärdet,Orgelgatan16,2,41.0,2643,1995000
https://www.hemnet.se/bostad/lagenhet-1rum-kapellgardet-uppsala-kommun-torngatan-5-19466819,Kapellgärdet,Kapellgärdet,Torngatan5,1,35.0,2345,1795000
https://www.hemnet.se/bostad/lagenhet-4rum-gunsta-uppsala-kommun-hjulaxelvagen-164-lgh-1104-18535015,Gunsta,Gunsta,Hjulaxelvägen164lgh1104,4,85.0,4600,2495000
https://www.hemnet.se/bostad/lagenhet-2rum-arsta-uppsala-kommun-fyrislundsgatan-56-19466640,Årsta,Årsta,Fyrislundsgatan56,2,62.5,3110,1850000
https://www.hemnet.se/bostad/lagenhet-2rum-kapellgardet-uppsala-kommun-orgelgatan-9-19366137,Kapellgärdet,Kapellgärdet,Orgelgatan9,2,45.0,2795,2090000
https://www.hemnet.se/bostad/lagenhet-4rum-salabacke-uppsala-kommun-ritargatan-4b-19447156,Salabacke,Salabacke,Ritargatan4b,4,96.3,4217,2995000
https://www.hemnet.se/bostad/lagenhet-3rum-arsta-uppsala-kommun-fyrislundsgatan-30-19466875,Årsta,Årsta,Fyrislundsgatan30,3,85.5,4913,1985000
https://www.hemnet.se/bostad/lagenhet-2rum-kungsangen-industristaden-uppsala-kommun-skyttelgatan-6-19377415,Kungsängen/Industristaden,Kungsängen,Skyttelgatan6,2,52.0,3161,2575000
https://www.hemnet.se/bostad/lagenhet-2rum-salabacke-uppsala-kommun-murargatan-18c-18963082,Salabacke,Salabacke,Murargatan18C,2,56.1,3423,1695000
https://www.hemnet.se/bostad/lagenhet-1rum-framre-luthagen-uppsala-kommun-fredsgatan-3-18851657,Främre Luthagen,FrämreLuthagen,Fredsgatan3,1,27.7,1748,1745000
https://www.hemnet.se/nybyggnadsprojekt/rickomberga-rickomberga-backe-3-17583677,Rickomberga,Rickomberga,Rickombergabacke3,2,34.0,fr.3067,1995000
"https://www.hemnet.se/bostad/lagenhet-2,5rum-sommarro-uppsala-kommun-norbyvagen-75-a-19278703",Sommarro,Sommarro,Norbyvägen75A,2.5,64.0,3488,2350000
"https://www.hemnet.se/bostad/lagenhet-5rum-flogsta-uppsala-kommun-flogstavagen-156,-van-5-av-5-19351376",Flogsta,Flogsta,Flogstavägen156,5,119.5,6131,4195000
https://www.hemnet.se/bostad/lagenhet-1rum-salabacke-uppsala-kommun-murargatan-3-19463919,Salabacke,Salabacke,Murargatan3,1,41.5,2110,1775000
https://www.hemnet.se/bostad/lagenhet-1rum-falhagen-uppsala-kommun-falhagsleden-3b-19465435,Fålhagen,Fålhagen,Fålhagsleden3B,1,37.5,2414,1895000
"https://www.hemnet.se/bostad/lagenhet-4,5rum-luthagen-uppsala-kommun-geijersgatan-3-19463976",Luthagen,Luthagen,Geijersgatan3,4.5,94.5,5886,4290000
https://www.hemnet.se/bostad/lagenhet-1rum-nyby-uppsala-kommun-viktor-rydbergsgatan-38-19464137,Nyby,Nyby,ViktorRydbergsgatan38,1,42.5,2437,1595000
https://www.hemnet.se/bostad/lagenhet-2rum-hoganas-falhagen-uppsala-kommun-torkelsgatan-38-c-19464376,Höganäs/Fålhagen,Höganäs,Torkelsgatan38C,2,59.0,3035,2395000
https://www.hemnet.se/bostad/lagenhet-2rum-granby-uppsala-kommun-blixtgatan-23-18927716,Gränby,Gränby,Blixtgatan23,2,62.5,3253,1695000
"https://www.hemnet.se/bostad/lagenhet-3,5rum-rosendal-uppsala-kommun-torgny-segerstedts-alle-85-19465795",Rosendal,Rosendal,TorgnySegerstedtsallé85,3.5,81.0,3736,2995000
https://www.hemnet.se/bostad/lagenhet-1rum-luthagen-uppsala-kommun-kyrkogardsgatan-16f-19465015,Luthagen,Luthagen,Kyrkogårdsgatan16F,1,27.0,1541,1795000
https://www.hemnet.se/bostad/lagenhet-1rum-falhagen-hoganas-uppsala-kommun-torkelsgatan-24-c-19436895,Fålhagen/Höganäs,Fålhagen,Torkelsgatan24C,1,40.0,2575,1795000
https://www.hemnet.se/bostad/lagenhet-2rum-salabacke-uppsala-kommun-verkmastargatan-9-19464375,Salabacke,Salabacke,Verkmästargatan9,2,52.6,2836,1895000
https://www.hemnet.se/bostad/lagenhet-2rum-rosendal-uppsala-kommun-betty-petterssons-gata-9-19464295,Rosendal,Rosendal,BettyPetterssonsgata9,2,59.0,3068,2850000
https://www.hemnet.se/nybyggnadsprojekt/kapellgardet-brf-moblera-17749056,Kapellgärdet,Kapellgärdet,BrfMöblera,1,35.0,fr.2811,1750000
https://www.hemnet.se/bostad/lagenhet-3rum-kungsangen-uppsala-kommun-skyttelgatan-7-19268675,Kungsängen,Kungsängen,Skyttelgatan7,3,82.0,3239,3195000
https://www.hemnet.se/bostad/lagenhet-3rum-storvreta-uppsala-kommun-meteorvagen-30-19301737,Storvreta,Storvreta,Meteorvägen30,3,82.0,5775,1995000
