region,location,link,street_address,num_of_rooms,size,fee,final_price,percentage_change,price,sold_date
Uppsalakommun,Uppsala,https://www.hemnet.se/salda/lagenhet-2rum-uppsala-uppsala-kommun-kummingatan-11b-9215562603021806798,Kummingatan 11B,2,60.3,3039,1530000,            -4 %          ,1471153,Såld10oktober2022
Uppsalakommun,Gränby,"https://www.hemnet.se/salda/lagenhet-2,5rum-granby-sala-backe-uppsala-kommun-marknadsgatan-44-7493831106497771767",Marknadsgatan 44,2.5,55.0,3369,2250000,            ±0 %          ,2250000,Såld10oktober2022
Uppsalakommun,Rosendal,https://www.hemnet.se/salda/lagenhet-4rum-rosendal-uppsala-kommun-dekangatan-4-6840430823204581665,Dekangatan 4,4,88.0,4938,3745000,            ±0 %          ,3745000,Såld10oktober2022
Uppsalakommun,Rosendal,https://www.hemnet.se/salda/lagenhet-3rum-rosendal-uppsala-kommun-grindstugegatan-5-2566396165890932803,Grindstugegatan 5,3,75.0,4341,4695000,            ±0 %          ,4695000,Såld10oktober2022
Uppsalakommun,Gränby,https://www.hemnet.se/salda/lagenhet-1rum-granby-sala-backe-uppsala-kommun-marknadsgatan-48-277119813780706602,Marknadsgatan 48,1,29.5,1893,1750000,            ±0 %          ,1750000,Såld10oktober2022
Uppsalakommun,Nyby,https://www.hemnet.se/salda/lagenhet-4rum-nyby-uppsala-kommun-viktor-rydbergsgatan-28-8761380767557826147,Viktor Rydbergsgatan 28,4,92.5,4555,1960000,            +1 %          ,1940594,Såld10oktober2022
Uppsalakommun,Fålhagen,https://www.hemnet.se/salda/lagenhet-2rum-falhagen-uppsala-kommun-torkelsgatan-2b-7157147040732430347,Torkelsgatan 2B,2,54.5,3154,2350000,            ±0 %          ,2350000,Såld10oktober2022
Uppsalakommun,Salabacke,https://www.hemnet.se/salda/lagenhet-4rum-sala-backe-uppsala-kommun-salabacksgatan-32b-4710084441185740251,Salabacksgatan 32B,4,83.0,5748,2050000,            -7 %          ,1915887,Såld10oktober2022
Uppsalakommun,Luthagen,https://www.hemnet.se/salda/lagenhet-2rum-luthagen-uppsala-kommun-sturegatan-15a-1158547419573039319,Sturegatan 15A,2,38.0,2513,1900000,            -5 %          ,1809523,Såld10oktober2022
Uppsalakommun,Uppsala,https://www.hemnet.se/salda/lagenhet-3rum-uppsala-uppsala-kommun-sagargatan-8c-2849734661033060450,Sågargatan 8c,3,89.0,3527,3800000,            +3 %          ,3689320,Såld9oktober2022
Uppsalakommun,Fålhagen,https://www.hemnet.se/salda/lagenhet-2rum-falhagen-uppsala-kommun-norrtaljegatan-11-a-8632592996620128990,Norrtäljegatan 11 A,2,48.0,2696,2495000,            ±0 %          ,2495000,Såld9oktober2022
Uppsalakommun,Uppsala,https://www.hemnet.se/salda/lagenhet-2rum-uppsala-uppsala-kommun-marielundsgatan-2b-6656846733415365761,Marielundsgatan 2B,2,61.0,3331,2750000,            ±0 %          ,2750000,Såld8oktober2022
Uppsalakommun,FulleröHage,https://www.hemnet.se/salda/lagenhet-2rum-fullero-hage-uppsala-kommun-stackmolnsvagen-85-d-6613386299543648926,Stackmolnsvägen 85 D,2,53.0,3197,1795000,            ±0 %          ,1795000,Såld8oktober2022
Uppsalakommun,Centrum,https://www.hemnet.se/salda/lagenhet-2rum-centrum-uppsala-kommun-kalsangsgrand-5-6573477467072628832,Kålsängsgränd 5,2,71.0,3909,2200000,            -8 %          ,2037037,Såld8oktober2022
Uppsalakommun,Salabacke,"https://www.hemnet.se/salda/lagenhet-2,5rum-salabacke-uppsala-kommun-arstagatan-39-8080778417943282398",Årstagatan 39,2.5,64.5,3170,1950000,            +3 %          ,1893203,Såld7oktober2022
