region,location,link,street_address,num_of_rooms,size,fee,final_price,percentage_change,price,sold_date
Uppsalakommun,Luthagen,https://www.hemnet.se/salda/lagenhet-1rum-luthagen-uppsala-kommun-luthagsesplanaden-34a-8161568377221804539,Luthagsesplanaden 34A,1,28.0,1611,1850000,            +3 %          ,1796116,Såld30december2022
Uppsalakommun,ÖvreSlotts,https://www.hemnet.se/salda/lagenhet-1rum-ovre-slotts-uppsala-kommun-kyrkogardsgatan-23-3535381049135738228,Kyrkogårdsgatan 23,1,26.0,1192,1695000,            ±0 %          ,1695000,Såld30december2022
Uppsalakommun,Ultuna,https://www.hemnet.se/salda/lagenhet-1rum-ultuna-uppsala-kommun-gote-turessons-vag-7a-2058759167898042391,Göte Turessons väg 7A,1,30.0,2398,1395000,            -7 %          ,1303738,Såld30december2022
Uppsalakommun,Kapellgärdet,https://www.hemnet.se/salda/lagenhet-4rum-kapellgardet-uppsala-kommun-portalgatan-4-j-3047226988392321968,Portalgatan 4 J,4,95.0,5278,3430000,            -1 %          ,3396039,Såld29december2022
Uppsalakommun,Gränby,https://www.hemnet.se/salda/lagenhet-4rum-granby-uppsala-kommun-regngatan-5-2262600941341457483,Regngatan 5,4,96.0,5750,2095000,            -7 %          ,1957943,Såld29december2022
Uppsalakommun,Kapellgärdet,https://www.hemnet.se/salda/lagenhet-2rum-kapellgardet-uppsala-kommun-orgelgatan-16-2238659317494526062,Orgelgatan 16,2,41.0,2403,1895000,            ±0 %          ,1895000,Såld29december2022
Uppsalakommun,Industristaden,https://www.hemnet.se/salda/lagenhet-2rum-industristaden-uppsala-kommun-kungsangsesplanaden-4-b-3356668301772471709,Kungsängsesplanaden 4 B,2,42.5,2727,2175000,            -1 %          ,2153465,Såld28december2022
Uppsalakommun,ÖfreSlotts,https://www.hemnet.se/salda/lagenhet-5rum-ofre-slotts-uppsala-kommun-ovre-slottsgatan-9b-5300712009188441272,Övre Slottsgatan 9B,5,173.0,5764,9100000,            +7 %          ,8504672,Såld27december2022
Uppsalakommun,Löten,https://www.hemnet.se/salda/lagenhet-3rum-loten-uppsala-kommun-ferlinsgatan-39-7549427285130281635,Ferlinsgatan 39,3,83.0,4951,1895000,            -3 %          ,1839805,Såld26december2022
Uppsalakommun,SödraGottsunda,https://www.hemnet.se/salda/lagenhet-3rum-sodra-gottsunda-uppsala-kommun-eksatravagen-102-1198539956034825498,Eksätravägen 102,3,72.8,4943,1900000,            +6 %          ,1792452,Såld26december2022
Uppsalakommun,Gottsunda,https://www.hemnet.se/salda/lagenhet-4rum-gottsunda-uppsala-kommun-vackra-birgers-vag-171-164710600197369228,Vackra birgers väg 171,4,91.5,5400,1800000,            -5 %          ,1714285,Såld23december2022
Uppsalakommun,Årsta,https://www.hemnet.se/salda/lagenhet-2rum-arsta-uppsala-kommun-falhagsleden-99-4100690786564071447,Fålhagsleden 99,2,60.0,3725,1700000,            +7 %          ,1588785,Såld23december2022
