region,location,street_address,num_of_rooms,size,fee,final_price,initial_price
Stockholmskommun,Södermalm,"Ölandsgatan 48, 4 tr",2,53 ,1966,6600000,5500000
Stockholmskommun,Kungsholmen,"Sankt Eriksgatan 23, 5 tr",2,90 ,2178,8825000,8485576
Stockholmskommun,Södermalm,"Anders Reimers väg 4, 2 tr",1,22 ,1732,2725000,2500000
Stockholmskommun,LägenhetLägenhetÅrsta,Bråviksvägen 6,4,68 ,4955,4500000,3750000
Stockholmskommun,Vasastan,Rådmansgatan 80 B,2,38 ,2016,4920000,4392857
Sollentunakommun,LägenhetLägenhetHelenelund,Pilvägen 84,3,78 ,4585,3100000,2792792
Solnakommun,LägenhetLägenhetUlriksdal,Banmästargatan 10,2,49 ,2655,3300000,2999999
Stockholmskommun,LägenhetLägenhetHagsätra,Vedevågslingan 25,1,43.8 ,2992,1950000,1695652
Stockholmskommun,LägenhetLägenhetHammarbyhöjden,Åstorpsringen 15,4,79 ,4674,5050000,4391304
Stockholmskommun,Hässelby,"Liljeörnsgränd 3, vån 2",3,83 ,5266,2830000,4391304
Stockholmskommun,Vasastan,"Torsgatan 50, 1,5tr",2,60 ,1832,5925000,5589622
Stockholmskommun,LägenhetLägenhetFridhemsplan,Gjutargatan 4A 3tr,1,36 ,1234,3750000,3605769
Stockholmskommun,LägenhetLägenhetHornstull,"Bergsundsgatan 12, 4 tr",1.5,37.5 ,2307,3975000,3486842
Stockholmskommun,LägenhetLägenhetNorraDjurgårdsstaden,"Jaktgatan 33, 2Tr",1,31 ,1797,3000000,3000000
Stockholmskommun,Kungsholmen,Runiusgatan 3,2.5,77 ,3505,5400000,5294117
Stockholmskommun,LägenhetLägenhetLiljeholmen,"Sjöviksvägen 140, vån 13",4,100 ,5487,9750000,9750000
Stockholmskommun,Skarpnäck,"Skarpnäcks Allé 62, 3tr",4,90 ,5991,4150000,3487394
Solnakommun,LägenhetLägenhetHuvudsta,Släggbacken 3,4,109 ,5711,5670000,4973684
Stockholmskommun,Vasastan,"Emmy Rappes Gata 3, vån 10",2,40.4 ,2381,4450000,4405940
Stockholmskommun,LägenhetLägenhetKista,Borgarfjordsgatan 21B,2,52 ,3420,2460000,2388349
Solnakommun,LägenhetLägenhetHuvudsta,Wiboms väg 6. Vån 10 / 10,4,103 ,5684,6000000,5504587
Sundbybergskommun,LägenhetLägenhetRissne,Rissneleden 165,3.5,82 ,4269,4525000,3709016
Stockholmskommun,LägenhetLägenhetLiljeholmskajen,Sjöviksvägen 45,3,76.5 ,4264,6250000,5580357
Stockholmskommun,Södermalm,Högbergsgatan 76B,2,52 ,2061,4885000,4697115
Stockholmskommun,Östermalm,"Banérgatan 29A, högst upp ö.g.",2,47 ,742,7100000,6826923
Sundbybergskommun,LägenhetLägenhetSundbyberg,Lavettvägen 42,2,66.9 ,3812,2350000,2259615
Stockholmskommun,Bromma,Snörmakarvägen 35D,2,56 ,2842,3700000,2983870
Sundbybergskommun,LägenhetLägenhetRissne,Rissneleden 163,1.5,39.5 ,2397,2100000,2100000
Solnakommun,LägenhetLägenhetSolnaCentrum,"Centrumslingan 47, 6tr",2,59 ,2991,3800000,3689320
Stockholmskommun,Södermalm,"Högalidsgatan 38D, Gårdshus",2,49 ,1960,5630000,4504000
Nackakommun,LägenhetLägenhetJarlaberg,Fyrspannsvägen 49,2,63 ,4379,3250000,3186274
Stockholmskommun,Bromma,"Damastvägen 6A, 2 tr",2,41 ,2396,2800000,2258064
Stockholmskommun,LägenhetLägenhetLiljeholmskajen,"Sjöviksvägen 76, 6tr",2,62 ,3623,5400000,4778761
Sollentunakommun,LägenhetLägenhetRotebro,Vasavägen 120A,3,70 ,3862,2530000,2200000
Stockholmskommun,Kungsholmen,"Industrigatan 14, 5 tr",1,36 ,2372,3300000,3203883
Solnakommun,LägenhetLägenhetFrösunda,"Nämndemansgatan 19, 2 tr",2,53 ,3180,3550000,3198198
Nackakommun,LägenhetLägenhetVästraOrminge,Ormingeringen 51B,1.5,45 ,3039,1825000,1689814
Stockholmskommun,Vasastan,"Västmannagatan 71B, 3tr",1,35 ,1177,4600000,4000000
Solnakommun,LägenhetLägenhetVästraSkogen,"Infanterigatan 9, Vån 8",2,56.5 ,2982,3360000,2604651
Stockholmskommun,Kungsholmen,Essingestråket 34,3,63 ,2393,5460000,5009174
Stockholmskommun,Vasastan,"Herkulesgatan 24, 10 tr",2,47 ,3003,4500000,3879310
Stockholmskommun,LägenhetLägenhetFarstaStrand,"Glavagatan 31, 5tr",2,46 ,3534,2300000,1755725
Sundbybergskommun,LägenhetLägenhetBrotorp,Brotorps allé 6,2,50 ,2802,2900000,1755725
Stockholmskommun,Vasastan,"Norrbackagatan 17, 4tr",3,78 ,3389,10800000,10000000
Stockholmskommun,LägenhetLägenhetBandhagen,"Harpsundsvägen 135, vån 3 / 3",1,45.5 ,2647,2275000,1880165
Sundbybergskommun,LägenhetLägenhetLillaUrsvik,Ursviksvägen 111A,1,38 ,2595,2150000,2150000
Sundbybergskommun,LägenhetLägenhetCentralaSundbyberg,Järnvägsgatan 28,4,94 ,3921,7750000,6981981
Stockholmskommun,Södermalm,"Högbergsgatan 62 E, 4 tr",4,110 ,4970,13500000,13235294
Stockholmskommun,Kungsholmen,"Fredhällsgatan 9, 2,5tr",2,43 ,2544,4050000,3584070
Solnakommun,Råsunda,"Hasselstigen 4, 3,5 tr",2,58 ,3548,3900000,3482142
Stockholmskommun,Kungsholmen,"Igeldammsgatan 22D, 3 tr",2,59 ,3718,7100000,6016949
Sollentunakommun,LägenhetLägenhetTureberg,Malmvägen 16B,3,76 ,2844,2650000,2500000
Nackakommun,LägenhetLägenhetKvarnholmen,Tre kronors väg 33,3,72 ,4110,7050000,6467889
Stockholmskommun,Kungsholmen,Kungsbro Strand 19,1,22.5 ,2059,2900000,2301587
Stockholmskommun,Södermalm,"Ringvägen 86, vån 2",2,38 ,1780,3825000,3384955
Solnakommun,LägenhetLägenhetArenastaden,"Evenemangsgatan 30, 12 tr",4,83 ,4275,5850000,5416666
Stockholmskommun,Vasastan,"Drottninggatan 81B, 4tr",2.5,74 ,2239,7300000,6886792
Stockholmskommun,Kungsholmen,"Alströmergatan 32 O, 3tr",2,45 ,2335,4650000,4305555
Stockholmskommun,LägenhetLägenhetEkhagen,Ekhagsvägen 9,4,93 ,5279,7700000,7475728
Stockholmskommun,LägenhetLägenhetÄlvsjö,"Älvsjö stationsgata 14, uteplats",1,39 ,2693,2500000,2100840
Stockholmskommun,Vällingby,Mörsilsgatan 24,4,94 ,4706,4650000,4305555
Stockholmskommun,LägenhetLägenhetFruängen,Jenny linds gata 11,2,57 ,3120,2950000,2500000
Stockholmskommun,Vasastan,"Dalagatan 41, 3,5 TR",3,91 ,4438,11650000,9471544
Sollentunakommun,LägenhetLägenhetRotsunda,Skeppargränd 14,3,82.5 ,5610,2875000,2791262
Stockholmskommun,LägenhetLägenhetHusby,Lofotengatan 28,3,65 ,4608,1750000,1750000
Stockholmskommun,LägenhetLägenhetVasastaden,Nina einhorns gata 4,2,47 ,2917,5100000,5100000
Sollentunakommun,LägenhetLägenhetRotebro,Allévägen 4M,2,46 ,2358,2350000,1991525
Stockholmskommun,LägenhetLägenhetHammarbyhöjden,"Olaus Magnus väg 44, 2 tr",2,39 ,3142,2700000,2454545
Stockholmskommun,LägenhetLägenhetHagsätra,Frövigatan 6,2,53 ,3050,2100000,1891891
Solnakommun,LägenhetLägenhetJärva,Fridensborgsvägen 113,4,95 ,4784,6300000,6300000
Solnakommun,LägenhetLägenhetRudviken,"Blomgatan 16, Vån 6 / 7!",3,71 ,2873,5300000,4380165
Solnakommun,LägenhetLägenhetGamlaFilmstaden,"Edvin Adolphsons väg 8, 2 tr",2,39 ,3049,3220000,2705882
Stockholmskommun,Södermalm,Ringvägen 83,2.5,61 ,2959,5100000,4766355
Stockholmskommun,LägenhetLägenhetEkhagen,Torphagsvägen 14,2,46.5 ,2605,3450000,3415841
Stockholmskommun,Södermalm,Katarina västra kyrkogata 10,2,60 ,3119,6400000,6153846
Nackakommun,LägenhetLägenhetSödraLännersta,Spanarvägen 16C,5,122 ,4150,6700000,6568627
Stockholmskommun,LägenhetLägenhetHammarbySjöstad,Båtbyggargatan 34,2,60 ,4240,4375000,3977272
Stockholmskommun,LägenhetLägenhetÅrsta,Sköntorpsvägen 96,2,43 ,2215,2760000,2486486
Nackakommun,LägenhetLägenhetBjörknäs,Värmdövägen 629,1,39 ,2461,1995000,1995000
Stockholmskommun,Midsommarkransen,"Bäckvägen 77, 1tr",2,44.5 ,3523,3300000,2894736
Solnakommun,LägenhetLägenhetGamlaHuvudsta,"Huvudstagatan 12, VINDSVÅNING!",4,137.7+19 ,5451,9400000,8867924
Stockholmskommun,Södermalm,"Helgagatan 36G, 1 tr",1.5,29 ,1631,3625000,2900000
Stockholmskommun,LägenhetLägenhetSpånga,"Almbygatan 10, 13 tr",2,40 ,2333,1795000,1795000
Stockholmskommun,Vasastan,"Hagagatan 20, 2 tr",2,55 ,2037,7000000,6194690
Sollentunakommun,LägenhetLägenhetTureberg,Attundagränd 5,2,44 ,2819,2610000,2193277
Sollentunakommun,LägenhetLägenhetSollentunaCentrum,Sollentunavägen 140,2,72 ,3514,3850000,2193277
Stockholmskommun,Vasastan,Döbelnsgatan 43,1,36 ,1387,4140000,4099009
Stockholmskommun,Bromma,Kamomillagatan 3,3,84 ,4617,5100000,4678899
Stockholmskommun,LägenhetLägenhetHägerstensåsen,"Stavgränd 18, 1tr",2,59 ,3193,3620000,2784615
Stockholmskommun,LägenhetLägenhetGröndal,Ekensbergsvägen 23,3,68 ,2561,5055000,4513392
Stockholmskommun,Vasastan,"Frejgatan 45, 5 tr",3,66 ,3410,8000000,7619047
Stockholmskommun,LägenhetLägenhetHammarbySjöstad,"Sickla Kanalgata 52, pl 4",3,72.5 ,4141,6850000,6008771
Stockholmskommun,Vasastan,Rödabergsgatan 9B,3,75 ,3756,7500000,7211538
Stockholmskommun,LägenhetLägenhetHammarbySjöstad,Båtbyggargatan 23,2,50 ,2920,5000000,4950495
Stockholmskommun,Vasastan,Surbrunnsgatan 57,2,48 ,2212,4700000,4700000
Nackakommun,LägenhetLägenhetOrminge,"Skarpövägen 35, 1tr",2,61 ,4615,2170000,1990825
Stockholmskommun,LägenhetLägenhetAnnedal,Krakel Spektakels Gata 1,2,52 ,3044,3350000,2887931
Stockholmskommun,Kungsholmen,"Baltzar von Platens gata 5, 3tr",1,36.5 ,2061,3600000,3600000
Stockholmskommun,LägenhetLägenhetÅrsta,Slätbaksvägen 48,3,71.7 ,3907,5050000,4391304
Stockholmskommun,Bromma,Bergslagsvägen 43,1,40 ,2653,2300000,2190476
Stockholmskommun,Vällingby,Kirunagatan 56,4,85 ,4246,3600000,2903225
Stockholmskommun,Bromma,Kratsbodavägen 50A,2,49 ,3014,3050000,2798165
Stockholmskommun,LägenhetLägenhetFarstaStand,Ekshäradsgatan 89,3,66 ,4096,3250000,2801724
Stockholmskommun,LägenhetLägenhetAbrahamsberg,Gustav Iii:s Väg 37,4,83 ,4576,6350000,2801724
Stockholmskommun,Telefonplan,"Arvodesvägen 7, vån 2",2,47 ,2752,3000000,3000000
Stockholmskommun,LägenhetLägenhetBredäng,Järnbärarvägen 4,3,82 ,4204,2850000,2794117
Stockholmskommun,Östermalm,Narvavägen 20A,2,62 ,2773,9250000,8726415
Stockholmskommun,Södermalm,Brännkyrkagatan 92,1.5,34 ,2395,3530000,2941666
Stockholmskommun,LägenhetLägenhetLillaEssingen,"Primusgatan 53, vån 8",3,91.5 ,4746,7650000,7149532
Stockholmskommun,Vasastan,Frejgatan 15,2,68 ,2200,7500000,7009345
Stockholmskommun,Kungsholmen,"Creutzgatan 13, 2 tr",3,71 ,3649,6675000,6238317
Stockholmskommun,LägenhetLägenhetJohannesfred,Tackjärnsvägen 12,2,55 ,2714,4400000,3793103
Sollentunakommun,LägenhetLägenhetHäggvik,Fridshyddevägen 11,2,65 ,3403,3700000,3303571
Stockholmskommun,Vasastan,Norrbackagatan 30,2,50 ,1593,5350000,5245098
Stockholmskommun,Östermalm,"Strindbergsgatan 37, 4 tr",1.5,31 ,1809,3750000,3750000
Stockholmskommun,LägenhetLägenhetAbrahamsberg,Abrahamsbergsvägen 35,2,40 ,2063,2880000,2851485
Stockholmskommun,LägenhetLägenhetGloben,Bildhuggarvägen 11,2,39 ,2778,3120000,2600000
Stockholmskommun,LägenhetLägenhetAspudden,Schlytersvägen 59,3,83 ,2951,7600000,6178861
Stockholmskommun,LägenhetLägenhetFarsta,Farstavägen 104,2,63 ,5005,2400000,2086956
Nackakommun,LägenhetLägenhetSaltängen,Beckasinvägen 39,1,39 ,2621,2200000,1896551
Stockholmskommun,LägenhetLägenhetÅrsta,Eklångsvägen 42,2,53.8 ,3234,3700000,3700000
Stockholmskommun,LägenhetLägenhetAkalla,"Kotkagatan 15, 2 tr",4,93 ,5132,2130000,2088235
Stockholmskommun,LägenhetLägenhetFruängen,"Eva Bonniers Gata 2, 5 tr",3,72 ,3904,4050000,3648648
Solnakommun,Råsunda,"Råsundavägen 162, 5tr",1,18 ,1324,1925000,1799065
Stockholmskommun,Vällingby,Funäsgatan 8,2,51 ,2637,2700000,2596153
Stockholmskommun,Hässelby,Aprikosgatan 19D,3,73.5 ,3948,3650000,3288288
Stockholmskommun,Kungsholmen,Fridhemsgatan 62,2,49 ,1898,5450000,4909909
Stockholmskommun,LägenhetLägenhetAkalla,"Sibeliusgången 58, 2tr",4,87 ,5141,2500000,2403846
Stockholmskommun,LägenhetLägenhetGärdet,"Öregrundsgatan 7, 4 tr",3,66 ,2544,5925000,5866336
Stockholmskommun,LägenhetLägenhetRågsved,"Bjursätragatan 103, 3tr",4,90 ,5168,2080000,2080000
