region,location,street_address,num_of_rooms,size,fee,final_price,initial_price
Uppsalakommun,Uppsala,Fyrislundsgatan 23B,1,34.0,2752,1520000,1490196
Uppsalakommun,Svartbäcken,Svartbäcksgatan 78 A - Fast Pris,1.5,41.9,2751,1895000,1895000
Uppsalakommun,Rickomberga,Hildur Ottelinsgatan 1C,2,41.9,2985,2000000,1801801
Uppsalakommun,Luthagen,Geijersgatan 12 C,3,84.5,4128,3410000,2889830
Uppsalakommun,Gränby,Albert Engströmsgatan 2H,3,75.5,4565,2200000,2156862
Uppsalakommun,Norby,Eksoppsvägen 48,3,79.5,5700,4110000,3288000
Uppsalakommun,Gottsunda,Henry Wemans väg 10,2,41.0,2426,1550000,1504854
Uppsalakommun,Löten,Heidenstamsgatan 53,4,102.5,5469,2475000,2291666
Uppsalakommun,Luthagen,Sturegatan 17b,2,68.1,3409,2550000,2297297
Uppsalakommun,GRÄNBY,Solskensgatan 23,4,91.5,4906,3700000,3490566
Uppsalakommun,Eriksberg,Glimmervägen 2C,2,60.0,2899,2200000,2200000
Uppsalakommun,Kapellgärdet,Orgelgatan 7,2,45.0,2238,2300000,2000000
Uppsalakommun,Salabacke,Verkmästargatan 1B,1,24.0,1553,1295000,1295000
Uppsalakommun,Tunabackar,Torbjörnsgatan 36,3,82.5,3534,2750000,2500000
Uppsalakommun,Kapellgärdet,Portalgatan 17,4,93.0,5132,3305000,2977477
Uppsalakommun,KUNGSÄNGEN,Bobingatan 2,4,102.0,5308,4350000,4350000
Uppsalakommun,Luthagen,Luthagsesplanaden 32A,1,20.0,1002,1550000,1504854
Uppsalakommun,Eriksberg,Stigbergsplan 1B,5,112.3,5935,6200000,4732824
Uppsalakommun,Kungsängen,Kungsängsgatan 57G,4,116.0,5127,5500000,5500000
Uppsalakommun,Luthagen,Geijersgatan 27C,1,33.5,1752,2125000,1897321
Uppsalakommun,Luthagen,Tiundagatan 43,4,89.0,5041,3100000,2719298
Uppsalakommun,Valsätra,Henry Wemans väg 4 vån 4 / 4,2,41.0,2736,1600000,1495327
Uppsalakommun,Årsta,Kummingatan 52A,3,79.7,4521,2350000,2303921
Uppsalakommun,Rosendal,Betty Petterssons gata 9,2,59.0,2994,2445000,2445000
Uppsalakommun,Fålhagen,Torkelsgatan 2B,2,54.5,3239,2380000,2288461
Uppsalakommun,Kungsängen,Sågargatan 13B,3,85.0,4620,4400000,4400000
Uppsalakommun,Höganäs,Vaksalagatan 36A,1,41.0,2315,1950000,1857142
Uppsalakommun,NYBY,Lidnersgatan 1,3,76.5,4333,1950000,1857142
Uppsalakommun,Fålhagen,Salagatan 53C,2,41.0,2984,2300000,1982758
Uppsalakommun,Salabacke,Snickargatan 12,3,85.5,3442,2400000,2086956
Uppsalakommun,Luthagen,Tegnérgatan 31B,2,48.0,2978,2295000,2295000
Uppsalakommun,Kvarngärdet,Råbyvägen 39B *Accepterat pris*,2,49.0,2899,1995000,1995000
Uppsalakommun,Gränby,Blixtgatan 1,3,77.5,3887,2100000,1693548
Uppsalakommun,Kapellgärdet,Orgelgatan 7,2,45.0,2238,2450000,2355769
Uppsalakommun,Fålhagen,Vallbygatan 13,2,51.9,3340,2100000,1981132
Uppsalakommun,Sommarro,Norbyvägen 75 B,3,73.0,3969,2895000,2895000
Uppsalakommun,Kapellgärdet,Portalgatan 65,4,104.0,5968,4000000,3508771
Uppsalakommun,Luthagen,Tiundagatan 39,3,72.0,3550,2795000,2795000
Uppsalakommun,Norby,Malma Stenväg 6,3,63.5,3813,2480000,2156521
Uppsalakommun,Salabacke,Murargatan 8F,2,52.0,2786,2110000,1788135
Uppsalakommun,Uppsala,Johannesbäcksgatan 84C,2,58.1,3126,1875000,1875000
Uppsalakommun,Luthagen,Sturegatan 18A,4,117.0,5374,4350000,4350000
Uppsalakommun,Salabacke,Ritargatan 8B,4,96.3,4181,3000000,2884615
Uppsalakommun,Kapellgärdet,Orgelgatan 16,2,41.0,2403,2175000,2091346
Uppsalakommun,Kapellgärdet,Portalgatan 79,4,106.5,6094,4750000,4203539
Uppsalakommun,Tunabackar,Väpnargatan 3A,3,77.5,3875,2195000,2195000
Uppsalakommun,Ekeby,Reykjaviksgatan 124,4,101.0,4478,3850000,3737864
Uppsalakommun,Salabacke,Ritargatan 5,2,42.5,2020,1775000,1690476
Uppsalakommun,Fålhagen,Petterslundsgatan 21B,3,67.0,3145,2650000,2598039
Uppsalakommun,Gunsta,Hjulaxelvägen 76,2,53.0,2951,1700000,1650485
Uppsalakommun,Salabacke,Byggmästargatan 17B,1,43.0,2438,1650000,1601941
Uppsalakommun,Kapellgärdet,Råbyvägen 84,2,76.5,4133,2305000,2305000
Uppsalakommun,Industristaden,Skyttelgatan 8,4,112.0,5354,5470000,4675213
Uppsalakommun,Kapellgärdet,Orgelgatan 11,4,89.0,4985,4045000,4004950
Uppsalakommun,Kungsängen,Tullgarnsgatan 9,3,79.0,4105,3240000,3000000
Uppsalakommun,Årsta,Fänkålsgatan 4,2,63.0,3747,1900000,1792452
Uppsalakommun,Uppsala,Pelargatan 26,4,94.0,4959,4200000,3684210
Uppsalakommun,Fålhagen,Eskilsgatan 4 B,1,38.5,2497,2045000,1985436
Uppsalakommun,Centrum,Bangårdsgatan 1B,2,62.0,2957,3600000,3185840
Uppsalakommun,Storvreta,Slöjmolnsvägen 17,5,121.5,7334,2600000,2385321
Uppsalakommun,CENTRUM,Hamnesplanaden 4B,3,81.5,4018,3750000,3605769
Uppsalakommun,Gränby,Albert Engströmsgatan 2H,2,53.0,3505,1995000,1995000
Uppsalakommun,Luthagen,Gimogatan 5B,2,44.5,2765,1795000,1795000
Uppsalakommun,Luthagen,Stabby allé 7 B,2,55.7,2966,2250000,1991150
Uppsalakommun,VALSÄTRA,Malma backe 3E,1,43.0,3495,1295000,1295000
Uppsalakommun,Fålhagen,Ymergatan 7A,3,79.0,4759,3750000,3289473
Uppsalakommun,Höganäs,Torkelsgatan 38B,1,42.0,2078,1895000,1895000
Uppsalakommun,ÖvreSlotts,Rundelsgränd 6 E,4,103.6,3818,5100000,4951456
Uppsalakommun,Kapellgärdet,Djäknegatan 8,3,57.0,3039,1950000,1788990
Uppsalakommun,Eriksberg,Fältspatsvägen 4,2,59.0,2859,2220000,2155339
Uppsalakommun,Uppsala,Geijersgatan 52B,1.5,38.9,2206,1940000,1901960
Uppsalakommun,Bellman,Bellmansgatan 112,1,41.5,2338,1450000,1380952
Uppsalakommun,Kungsängen,Kungsängsgatan 55E,2,45.4,2648,2370000,2300970
Uppsalakommun,Gränby,Råbyvägen 55F,2,54.0,3187,1650000,1527777
Uppsalakommun,Kapellgärdet,Portalgatan 62,2,58.5,3459,2450000,2401960
Uppsalakommun,Luthagen,Sturegatan 16 B,1,29.0,1729,1730000,1663461
Uppsalakommun,Kungsängen,Kungsängsgatan 57 A,2.5,70.0,4200,2625000,2599009
Uppsalakommun,Fålhagen,Torkelsgatan 17 A,3,68.0,3909,2975000,2975000
Uppsalakommun,Bälinge,Allmänningsvägen 9B,3,91.0,5216,2550000,2297297
Uppsalakommun,Rickomberga,Gösta Wahlströms väg 5,3,85.0,3770,3500000,2297297
Uppsalakommun,Kungsängen,Tullgarnsgatan 7,3,78.0,4105,3500000,3153153
Uppsalakommun,Vårdsätra,Eksätravägen 144,3,78.9,5265,2050000,2050000
Uppsalakommun,FrämreLuthagen,Börjegatan 1B,3.5,86.0,4441,4550000,4212962
Uppsalakommun,Höganäs,Väderkvarnsgatan 8A,1.5,44.0,2341,2000000,1886792
Uppsalakommun,Uppsala,Luthagsesplanaden 10B,1,27.0,1686,1750000,1750000
Uppsalakommun,Herrhagen,Herrhagsvägen 195 - FAST PRIS!,3,76.0,3976,2120000,2099009
Uppsalakommun,Kapellgärdet,Råbyvägen 26,3,105.5,5961,3610000,3085470
Uppsalakommun,Kapellgärdet,Ljusbärargatan 5,2,54.0,3179,2750000,2455357
Uppsalakommun,Tunabackar,Torbjörnsgatan 14,1,48.4,2261,1650000,1601941
Uppsalakommun,FrämreLuthagen,Luthagsesplanaden 21 B,3.5,78.0,3603,3400000,3238095
Uppsalakommun,Fålhagen,Hjalmar Brantingsgatan 8 A,2,57.5,3722,2695000,2695000
Uppsalakommun,Fålhagen,Fålhagsleden 6C,2,51.5,2581,2195000,2195000
Uppsalakommun,LUTHAGEN,Luthagsesplanaden 15C,3,76.5,4342,2950000,2892156
Uppsalakommun,Nyby,Wivalliusgatan 25,2,61.0,3175,1695000,1695000
Uppsalakommun,Gottsunda,Henry Wemans väg 2,5,93.0,5425,2395000,2395000
Uppsalakommun,Luthagen,Tegnérgatan 5A,2.5,67.0,4455,2700000,2288135
Uppsalakommun,Luthagen,Hällbygatan 37,2,62.0,3524,2535000,2347222
Uppsalakommun,Luthagen,Luthagsesplanaden 6 A,1,36.0,1094,2130000,1990654
Uppsalakommun,NorraRosendal,Dekangatan 10 (2-1307),2,43.0,2521,1895000,1895000
Uppsalakommun,Kungsängen,Skyttelgatan 7,3,82.0,3567,3900000,1895000
Uppsalakommun,Svartbäcken,Swedenborgsgatan 32 B,3,73.0,4526,2900000,2788461
Uppsalakommun,Kungsängen,"Kungsgatan 93F, VÅN 4",4,109.5,4455,4500000,2788461
Uppsalakommun,Salabacke,Ritargatan 1B **ACCEPTERAT PRIS**,2,43.5,2367,1585000,1553921
Uppsalakommun,Luthagen,Luthagsesplanaden 30C,1,36.0,1668,2115000,1792372
Uppsalakommun,Gottsunda,Kontrabasvägen 4,3,101.0,5504,1650000,1650000
Uppsalakommun,Ulleråker,Eva Lagerwalls Väg 24,4,101.5,5935,4250000,3899082
Uppsalakommun,NORBY,Svampvägen 8B,2,60.0,3438,1750000,1495726
Uppsalakommun,Årsta,Sparrisgatan 7 A,3,107.0,6336,2700000,2500000
Uppsalakommun,Fjärdingen,Åsgränd 4B,5,131.0,5092,9200000,7479674
Uppsalakommun,SÄVJA,Ölandsresan 3B,2,51.0,3048,1935000,1727678
Uppsalakommun,Eriksberg,Västertorg 5A,4,113.5,4470,4120000,3491525
Uppsalakommun,Stabby,Stabby allé 13A -FAST PRIS,2,74.9,4357,2300000,2300000
Uppsalakommun,Slavsta,Klarbärsgatan 102,3,68.6,5063,2510000,2390476
Uppsalakommun,Rosendal,Gerd Enequists gata 14,4,97.5,5375,3845000,3845000
Uppsalakommun,Fålhagen,Norrtäljegatan 28,2,53.0,3640,2030000,1990196
Uppsalakommun,Kungsängen,Tullgarnsgatan 3,2,45.5,2402,2500000,2380952
Uppsalakommun,Gottsunda,Valthornsvägen 44C,3,78.0,4533,1500000,1293103
Uppsalakommun,FRÄMRELUTHAGEN,Götgatan 10A,4,97.0,4838,4750000,4750000
Uppsalakommun,Fålhagen,S:t Göransgatan 24A,2,44.5,2550,2050000,1898148
Uppsalakommun,Gränby,Molngatan 27,2,61.5,3139,1950000,1950000
Uppsalakommun,Svartbäcken,Sköldungagatan 31,4,113.1,3288,4500000,3688524
Uppsalakommun,Ulleråker,Gustaf Kjellbergs väg 4,3,63.1,4541,2470000,1991935
Uppsalakommun,Salabacke,Fyrislundsgatan 37B,1.5,35.0,2266,1680000,1600000
Uppsalakommun,Storvreta,Morgonvägen 14,4,99.0,5860,2500000,2000000
Uppsalakommun,Luthagen,Tiundagatan 36B,3,81.5,3881,3225000,2804347
Uppsalakommun,Salabacke,Årstagatan 15,2,57.0,3226,2050000,1898148
Uppsalakommun,Fålhagen,Frodegatan 13C,1,30.0,2122,1950000,1893203
Uppsalakommun,Sävja,Gotlandsresan 174,4,93.0,5682,2100000,1891891
Uppsalakommun,Luthagen,Tegnérgatan 28 A,2.5,57.0,3161,2395000,2395000
Uppsalakommun,Sommarro,Karlsrogatan 81,2,58.0,2696,2300000,2190476
Uppsalakommun,Salabacke,Byggmästargatan 1B,1,38.2,2529,1715000,1698019
Uppsalakommun,Kungsängen,Tullgarnsgatan 3,1,34.0,1873,1850000,1850000
Uppsalakommun,Kungsängen,Sågargatan 8B,2,48.0,2141,2450000,2450000
Uppsalakommun,Stenhagen,Stenrösvägen 81,4,93.5,6852,1800000,1500000
Uppsalakommun,Ulleråker,Gustaf Kjellbergs Väg 6,4,93.1,6179,3250000,2754237
Uppsalakommun,Höganäs,S:t Olofsgatan 62B,3,60.0,2796,2660000,2582524
Uppsalakommun,Kapellgärdet,Portalgatan 66,3,81.0,4238,3450000,3450000
Uppsalakommun,Centrum,Ellegatan 1,3,92.0,3818,4510000,3887931
Uppsalakommun,Fålhagen,Frodegatan 14 B,2,55.5,3516,2350000,2303921
Uppsalakommun,Salabacke,Årstagatan 18 B,2,50.5,2914,1750000,1699029
Uppsalakommun,Fålhagen,Ymergatan 6B,1,44.0,2106,2395000,2395000
Uppsalakommun,Fålhagen,Petterslundsgatan 23C,3,67.0,3284,2475000,2379807
Uppsalakommun,Fålhagen,Torkelsgatan 17C,2,41.0,2827,2010000,1990099
Uppsalakommun,Fålhagen,Väderkvarnsgatan 39A,3,79.0,4759,4500000,1990099
Uppsalakommun,Uppsala,Oxelgatan 22,2,57.0,3500,2525000,1988188
Uppsalakommun,Herrhagen,Stenhuggarvägen 21,5,118.0,4862,4130000,3687499
Uppsalakommun,FrämreLuthagen,Börjegatan 1B,1,14.0,1081,1250000,1190476
Uppsalakommun,Höganäs,Väderkvarnsgatan 8B,1.5,44.0,2341,2200000,1999999
Uppsalakommun,Salabacke,Årstagatan 35,2,66.0,3248,2425000,1987704
Uppsalakommun,Salabacke,Kastanjegatan 3,2,53.5,3116,1850000,1796116
Uppsalakommun,Sävja,Blekingevägen 8,2,64.5,4108,1450000,1198347
Uppsalakommun,Gottsunda,Cellovägen 17,3,82.0,4470,1200000,1200000
Uppsalakommun,Kungsängen,Kungsängsgatan 57A,1.5,42.0,3009,2150000,1990740
Uppsalakommun,Uppsala,Ringgatan 20C,2,57.0,3175,2575000,2299107
Uppsalakommun,Rosendal,Torgny Segerstedts allé 94,3,86.0,5043,3750000,3712871
Uppsalakommun,Salabacke,Murargatan 22 B,2,56.1,2915,1700000,1650485
Uppsalakommun,Årsta,Fyrislundsgatan 48,3,83.5,2696,2625000,2282608
Uppsalakommun,Löten,Lings väg 74,2,69.0,4202,1870000,1798076
